ID,CoasterName,Park,City,State,Country,Status,OpSince,OpUntil,Type,Scale,Design,Length,Height,Drop,Speed,Inversions,Vertical,Duration
16349,Copperhead Strike,Carowinds,Charlotte,North Carolina,United States,Operating,2019-03-23,,Steel,Extreme,Sit Down,3255,82,,50,5,,2:24
16350,unknown,Sha,Sanming,Fujian,China,Operating,2018,,Steel,Extreme,Sit Down,,,,,4,,
16352,Speed Coaster,Hastings,East Sussex,England,United Kingdom,Operated,,,Steel,Kiddie,Sit Down,,,,,0,,
16353,Happy Caterpiller,Portsmouth,Hampshire,England,United Kingdom,Operated,,,Steel,Family,Sit Down,,,,,0,,
16354,Rhönbob,Ski- und Rodelarena Wasserkuppe,Gersfeld,Hesse,Germany,Operating,2018,,Steel,Thrill,Sit Down,,,,,0,,
16356,Brucomela,Luna Park Neptun,Neptun,Constanța,Romania,Operating,2015,,Steel,Family,Sit Down,,,,,0,,
16358,Roller Coaster,Shamkir City Park,Shamkir,Ganja-Qazakh,Azerbaijan,Operating,2013,,Steel,Thrill,Sit Down,,,,,0,,
16361,Wacky Worm,Al Basma Fish,Mecca,Makkah,Saudi Arabia,Operating,2014,,Steel,Family,Sit Down,,,,,0,,
16363,unknown,Al Dana Fish,Mecca,Makkah,Saudi Arabia,Operating,2017,,Steel,Family,Sit Down,,,,,0,,
16365,Twist-N-Shout,Malibu Jack's,Lexington,Kentucky,United States,Operating,2018-07-12,,Steel,Family,Sit Down,,,,,0,,
16366,unknown,Wangcheng,Changsha,Hunan,China,Under Construction,,,Steel,Thrill,Sit Down,,,,,0,,
16368,Pieces of 8,Skallywag Bay Theme Park,Chaguaramas,Diego Martin,Trinidad and Tobago,Operating,2018,,Steel,Family,Sit Down,,,,,0,,
16372,Bruco Mela,Haway Park Cassino,Cassino,Lazio,Italy,Operating,2009,,Steel,Family,Sit Down,,,,,0,,
16374,Brucomela,Nadikvari Park,Telavi,Kakheti,Georgia,Operating,2011,,Steel,Family,Sit Down,,,,,0,,
16375,Shark Trip / Катальная Гора Акула,City Park of Culture and Rest,Tyumen,Tyumen,Russia,Operating,2013,,Steel,Family,Sit Down,,,,,0,,
16376,unknown,Luna Park,Kentron,Yerevan,Armenia,Operating,2018,,Steel,Family,Sit Down,,,,,0,,
16377,Wam Coast,Spring Land,Monastir,Monastir,Tunisia,Operating,2015,,Steel,Kiddie,Sit Down,,,,,0,,
16379,Achterbahn,Flippolino,Kirchen,Rhineland-Palatinate,Germany,Operating,2018,,Steel,Family,Sit Down,,,,,0,,
16381,Worm Coaster,Wild Waters,Shankarpalli,Telangana,India,Operating,2017,,Steel,Family,Sit Down,,,,,0,,
16387,unknown,Tov Park Rozvah,Berdiansk,Zaporizhia,Ukraine,Operating,2007,,Steel,Extreme,Sit Down,,,,,1,,
16389,Drakenbaan,Speelpark Oud Valkeveen,Naarden,North Holland,Netherlands,Operating,2019-04-27,,Steel,Family,Sit Down,,,,,0,,
16393,Crazy Coaster,Jacquou Parc,Le Bugue,Nouvelle-Aquitaine,France,Operating,2018,,Steel,Thrill,Sit Down,,49.3,,,0,,
16394,Flight School,Tayto Park,Ashbourne,Meath,Ireland,Operating,2019-05-18,,Steel,Family,Sit Down,921.9,36.1,,28.6,0,,
16397,Gotham Express,Adventure Zone at Bear Lake,Garden City,Utah,United States,Operated,2018-06-16,2018,Steel,Kiddie,Sit Down,,,,,0,,
16400,Fruit Worm Coaster / 果虫滑车,Qingxin,Qingyuan,Guangdong,China,Operating,2014,,Steel,Family,Sit Down,,,,,0,,
16403,3 Loops Coaster,Central Park,Mirzo Ulugbek,Tashkent City,Uzbekistan,Operating,2018,,Steel,Family,Sit Down,,,,,0,,
16404,Cyclon Coaster,Central Park,Mirzo Ulugbek,Tashkent City,Uzbekistan,Operating,2018,,Steel,Thrill,Sit Down,,,,,0,,
16406,Caterpillar Coaster,Primrose Valley,North Yorkshire,England,United Kingdom,Operating,2016,,Steel,Family,Sit Down,,14.8,,,0,,
16409,Drakon,Yoshlik Istirohat Bog'i,Samarkand,Samarkand,Uzbekistan,Operating,2016,,Steel,Family,Sit Down,,,,,0,,
16411,unknown,ASI Park,Qarshi,Qashqadaryo,Uzbekistan,Operating,2017,,Steel,Extreme,Sit Down,,37.7,,31.1,1,,2:00
16413,Dragon Train / поезд дракона,Istiqlol Bolalar Bog’i,Jizzakh,Jizzakh,Uzbekistan,Operated,,,Steel,Family,Sit Down,,,,,0,,
